DateTime;NAV officielle
03/06/2014;10,1632
04/06/2014;10,1501
05/06/2014;10,2242
06/06/2014;10,2753
09/06/2014;10,3826
10/06/2014;10,4215
11/06/2014;10,4102
12/06/2014;10,3802
13/06/2014;10,4705
16/06/2014;10,4107
17/06/2014;10,4174
18/06/2014;10,4288
19/06/2014;10,4821
20/06/2014;10,5362
23/06/2014;10,5403
24/06/2014;10,5147
25/06/2014;10,4621
26/06/2014;10,4795
27/06/2014;10,4553
30/06/2014;10,4339
01/07/2014;10,5038
02/07/2014;10,4554
03/07/2014;10,5079
04/07/2014;10,5328
07/07/2014;10,4368
08/07/2014;10,3565
09/07/2014;10,3188
10/07/2014;10,2929
11/07/2014;10,3036
14/07/2014;10,3357
15/07/2014;10,3721
16/07/2014;10,4226
17/07/2014;10,3364
18/07/2014;10,4437
21/07/2014;10,4205
22/07/2014;10,5524
23/07/2014;10,4996
24/07/2014;10,5011
25/07/2014;10,4521
28/07/2014;10,4099
29/07/2014;10,3679
30/07/2014;10,3334
31/07/2014;10,1174
01/08/2014;9,9597
04/08/2014;9,9530
05/08/2014;9,9838
06/08/2014;9,9649
07/08/2014;9,9597
08/08/2014;9,9720
11/08/2014;10,0947
12/08/2014;10,1110
13/08/2014;10,1784
14/08/2014;10,2101
15/08/2014;10,2225
18/08/2014;10,3256
19/08/2014;10,3832
20/08/2014;10,4364
21/08/2014;10,4775
22/08/2014;10,4820
25/08/2014;10,5444
26/08/2014;10,5417
27/08/2014;10,5421
28/08/2014;10,5284
29/08/2014;10,5470
01/09/2014;10,5722
02/09/2014;10,5672
03/09/2014;10,6215
04/09/2014;10,7259
05/09/2014;10,7118
08/09/2014;10,6448
09/09/2014;10,5858
10/09/2014;10,5930
11/09/2014;10,5977
12/09/2014;10,5304
15/09/2014;10,5253
16/09/2014;10,4900
17/09/2014;10,4726
18/09/2014;10,4741
19/09/2014;10,5675
22/09/2014;10,4816
23/09/2014;10,3344
24/09/2014;10,4227
25/09/2014;10,3861
26/09/2014;10,4139
29/09/2014;10,3668
30/09/2014;10,3545
01/10/2014;10,3038
02/10/2014;10,1209
03/10/2014;10,2753
06/10/2014;10,3149
07/10/2014;10,1902
08/10/2014;10,2054
09/10/2014;10,1148
10/10/2014;10,0605
13/10/2014;10,0121
14/10/2014;10,0909
15/10/2014;9,9078
16/10/2014;9,9060
17/10/2014;10,0474
20/10/2014;10,1458
21/10/2014;10,2794
22/10/2014;10,3839
23/10/2014;10,4811
24/10/2014;10,5261
27/10/2014;10,4510
28/10/2014;10,5737
29/10/2014;10,5534
30/10/2014;10,7054
31/10/2014;10,8412
03/11/2014;10,7919
04/11/2014;10,7102
05/11/2014;10,9081
06/11/2014;10,9484
07/11/2014;10,9772
10/11/2014;11,0486
11/11/2014;11,0662
12/11/2014;10,9863
13/11/2014;10,9647
14/11/2014;10,9562
17/11/2014;10,9844
18/11/2014;11,0332
19/11/2014;11,0201
20/11/2014;11,0187
21/11/2014;11,1762
24/11/2014;11,1692
25/11/2014;11,1638
26/11/2014;11,1744
27/11/2014;11,1634
28/11/2014;11,0896
01/12/2014;10,9991
02/12/2014;11,0587
03/12/2014;11,1860
04/12/2014;11,0023
05/12/2014;11,1046
08/12/2014;11,0204
09/12/2014;10,9162
10/12/2014;10,8850
11/12/2014;10,8890
12/12/2014;10,7719
15/12/2014;10,6892
16/12/2014;10,6734
17/12/2014;10,7887
18/12/2014;11,1322
19/12/2014;11,1785
22/12/2014;11,2377
23/12/2014;11,3157
24/12/2014;11,3303
26/12/2014;11,3711
29/12/2014;11,4352
30/12/2014;11,2879
31/12/2014;11,2844
02/01/2015;11,3168
05/01/2015;11,1461
06/01/2015;11,0903
07/01/2015;11,2677
08/01/2015;11,4673
09/01/2015;11,4139
12/01/2015;11,3999
13/01/2015;11,4913
14/01/2015;11,4951
15/01/2015;11,6890
16/01/2015;11,8106
19/01/2015;11,7294
20/01/2015;11,7898
21/01/2015;11,8675
22/01/2015;12,0858
23/01/2015;12,2413
26/01/2015;12,2618
27/01/2015;12,1333
28/01/2015;12,1493
29/01/2015;12,2156
30/01/2015;12,1086
02/02/2015;12,1281
03/02/2015;12,1566
04/02/2015;12,1335
05/02/2015;12,1206
06/02/2015;12,1375
09/02/2015;12,0312
10/02/2015;12,0889
11/02/2015;12,0903
12/02/2015;12,1084
13/02/2015;12,0880
16/02/2015;12,0841
17/02/2015;12,0968
18/02/2015;12,1718
19/02/2015;12,1955
20/02/2015;12,2532
23/02/2015;12,2860
24/02/2015;12,4322
25/02/2015;12,3668
26/02/2015;12,3955
27/02/2015;12,4486
02/03/2015;12,4354
03/03/2015;12,3445
04/03/2015;12,3896
05/03/2015;12,5073
06/03/2015;12,5054
09/03/2015;12,5182
10/03/2015;12,5507
11/03/2015;12,6880
12/03/2015;12,7890
13/03/2015;12,8112
16/03/2015;12,8140
17/03/2015;12,8270
18/03/2015;12,9790
19/03/2015;13,0063
20/03/2015;12,9542
23/03/2015;12,8337
24/03/2015;12,8452
25/03/2015;12,7051
26/03/2015;12,6699
27/03/2015;12,7639
30/03/2015;12,8579
31/03/2015;12,9293
01/04/2015;12,9390
02/04/2015;12,9190
03/04/2015;12,9477
06/04/2015;12,9166
07/04/2015;13,1027
08/04/2015;13,1434
09/04/2015;13,3259
10/04/2015;13,4512
13/04/2015;13,4685
14/04/2015;13,3647
15/04/2015;13,5195
16/04/2015;13,4801
17/04/2015;13,3609
20/04/2015;13,4186
21/04/2015;13,4715
22/04/2015;13,4854
23/04/2015;13,4972
24/04/2015;13,5454
27/04/2015;13,5548
28/04/2015;13,3744
29/04/2015;13,1233
30/04/2015;12,9751
04/05/2015;13,0836
05/05/2015;12,8602
06/05/2015;12,6710
07/05/2015;12,7298
08/05/2015;13,0105
11/05/2015;13,0889
12/05/2015;12,9748
13/05/2015;12,9469
14/05/2015;13,0128
15/05/2015;12,9787
18/05/2015;13,0739
19/05/2015;13,3334
20/05/2015;13,4083
21/05/2015;13,4520
22/05/2015;13,4510
25/05/2015;13,4445
26/05/2015;13,4318
27/05/2015;13,5521
28/05/2015;13,4782
29/05/2015;13,3187
01/06/2015;13,4049
02/06/2015;13,1369
03/06/2015;13,0541
04/06/2015;12,9236
05/06/2015;12,9402
08/06/2015;12,8024
09/06/2015;12,7352
10/06/2015;12,8575
11/06/2015;12,9680
12/06/2015;12,8814
15/06/2015;12,6811
16/06/2015;12,7214
17/06/2015;12,6915
18/06/2015;12,6401
19/06/2015;12,6772
22/06/2015;12,8251
23/06/2015;13,0526
24/06/2015;13,0913
25/06/2015;13,0310
26/06/2015;13,0631
29/06/2015;12,8061
30/06/2015;12,8558
01/07/2015;12,9180
02/07/2015;12,9381
03/07/2015;12,9157
06/07/2015;12,7409
07/07/2015;12,8076
08/07/2015;12,5215
09/07/2015;12,6346
10/07/2015;12,6761
13/07/2015;12,9649
14/07/2015;13,0558
15/07/2015;13,0469
16/07/2015;13,1540
17/07/2015;13,1660
20/07/2015;13,1847
21/07/2015;13,0018
22/07/2015;13,0261
23/07/2015;13,0637
24/07/2015;12,9671
27/07/2015;12,6675
28/07/2015;12,9098
29/07/2015;13,0322
30/07/2015;13,1885
31/07/2015;13,1385
03/08/2015;13,1651
04/08/2015;13,1863
05/08/2015;13,3730
06/08/2015;13,3606
07/08/2015;13,2643
10/08/2015;13,2919
11/08/2015;13,0954
12/08/2015;12,8024
13/08/2015;12,9211
14/08/2015;12,9791
17/08/2015;13,1130
18/08/2015;13,1842
19/08/2015;13,0140
20/08/2015;12,6566
21/08/2015;12,2619
24/08/2015;11,5696
25/08/2015;11,6943
26/08/2015;11,8138
27/08/2015;12,2594
28/08/2015;12,2778
31/08/2015;12,1937
01/09/2015;11,8175
02/09/2015;11,9085
03/09/2015;12,2063
04/09/2015;11,9918
07/09/2015;11,9862
08/09/2015;12,1746
09/09/2015;12,2541
10/09/2015;12,1772
11/09/2015;12,1402
14/09/2015;12,1001
15/09/2015;12,2426
16/09/2015;12,3905
17/09/2015;12,3527
18/09/2015;12,1313
21/09/2015;12,2762
22/09/2015;12,1882
23/09/2015;12,1405
24/09/2015;11,9603
25/09/2015;12,2241
