DateTime;NAV officielle
04/01/2010;30,8700
05/01/2010;30,2500
06/01/2010;30,0900
07/01/2010;29,8800
08/01/2010;30,0600
11/01/2010;29,9600
12/01/2010;29,9100
13/01/2010;30,0800
14/01/2010;30,3800
15/01/2010;30,2900
18/01/2010;30,5600
19/01/2010;30,8400
20/01/2010;30,7200
21/01/2010;30,8200
22/01/2010;30,5900
25/01/2010;30,3200
26/01/2010;30,2800
27/01/2010;30,4900
28/01/2010;30,4600
29/01/2010;30,6800
01/02/2010;30,6200
02/02/2010;30,8000
03/02/2010;30,8200
04/02/2010;30,1500
05/02/2010;29,3200
08/02/2010;29,7500
09/02/2010;29,5800
10/02/2010;29,7800
11/02/2010;30,0700
12/02/2010;30,3300
15/02/2010;30,2200
16/02/2010;30,4400
17/02/2010;30,8200
18/02/2010;31,0400
19/02/2010;31,5200
22/02/2010;31,2600
23/02/2010;31,3500
24/02/2010;31,5500
25/02/2010;31,0700
26/02/2010;31,2800
01/03/2010;31,8100
02/03/2010;31,9200
03/03/2010;31,7800
04/03/2010;31,8600
05/03/2010;31,8300
08/03/2010;31,7400
09/03/2010;32,0100
10/03/2010;32,0800
11/03/2010;32,0300
12/03/2010;32,0000
15/03/2010;32,0000
16/03/2010;32,2700
17/03/2010;32,3300
18/03/2010;32,4300
19/03/2010;32,2300
22/03/2010;32,4800
23/03/2010;32,4900
24/03/2010;32,5300
25/03/2010;32,6900
26/03/2010;32,4700
29/03/2010;32,5000
30/03/2010;32,7100
31/03/2010;32,7600
01/04/2010;33,1600
06/04/2010;33,0400
07/04/2010;33,0400
08/04/2010;32,8600
09/04/2010;33,0800
12/04/2010;32,9900
13/04/2010;32,9400
14/04/2010;33,0100
15/04/2010;32,9500
16/04/2010;32,7100
19/04/2010;32,4100
20/04/2010;32,8500
21/04/2010;32,9400
22/04/2010;33,1900
23/04/2010;33,3200
26/04/2010;33,6300
27/04/2010;32,9900
28/04/2010;32,4200
29/04/2010;33,1900
30/04/2010;33,0600
03/05/2010;33,0800
04/05/2010;32,7000
05/05/2010;32,4800
06/05/2010;32,6200
07/05/2010;31,4300
10/05/2010;32,7000
11/05/2010;33,1000
12/05/2010;33,4200
13/05/2010;33,5800
