DateTime;NAV officielle
04/01/2010;16,4000
05/01/2010;16,4500
06/01/2010;16,3100
07/01/2010;16,3500
08/01/2010;16,6300
11/01/2010;16,2600
12/01/2010;15,8400
13/01/2010;16,3000
14/01/2010;16,3400
15/01/2010;16,0800
19/01/2010;16,7100
20/01/2010;16,4200
21/01/2010;16,1800
22/01/2010;15,1200
25/01/2010;15,2100
26/01/2010;15,3400
27/01/2010;15,6200
28/01/2010;14,8800
29/01/2010;14,4300
01/02/2010;14,7700
02/02/2010;14,9800
03/02/2010;15,1600
04/02/2010;14,4100
05/02/2010;14,7500
08/02/2010;14,5200
09/02/2010;14,8100
10/02/2010;14,7800
11/02/2010;15,3300
12/02/2010;15,3800
16/02/2010;15,6800
17/02/2010;15,8900
18/02/2010;16,1500
19/02/2010;16,2800
22/02/2010;16,0800
23/02/2010;15,6800
24/02/2010;15,9700
25/02/2010;16,0800
26/02/2010;16,0300
01/03/2010;16,7300
02/03/2010;16,7200
03/03/2010;16,5600
04/03/2010;16,8100
05/03/2010;17,3400
08/03/2010;17,3200
09/03/2010;17,6100
10/03/2010;17,8000
11/03/2010;17,9000
12/03/2010;17,8100
15/03/2010;17,8600
16/03/2010;17,9500
17/03/2010;18,0400
18/03/2010;18,3700
19/03/2010;18,2500
22/03/2010;18,5700
23/03/2010;18,8300
24/03/2010;18,8700
25/03/2010;18,8200
26/03/2010;18,8100
29/03/2010;18,8700
30/03/2010;19,0700
31/03/2010;18,7300
01/04/2010;18,7500
05/04/2010;19,1400
06/04/2010;19,4000
07/04/2010;19,3600
08/04/2010;19,4100
09/04/2010;19,5500
12/04/2010;19,3400
13/04/2010;19,5700
14/04/2010;19,9600
15/04/2010;20,2500
16/04/2010;19,8200
19/04/2010;19,8900
20/04/2010;20,1000
21/04/2010;20,4200
22/04/2010;20,7700
23/04/2010;20,8900
26/04/2010;20,8100
27/04/2010;19,9500
28/04/2010;20,1500
29/04/2010;20,8000
30/04/2010;19,8500
03/05/2010;20,6600
04/05/2010;19,5900
05/05/2010;19,6400
06/05/2010;18,5600
07/05/2010;17,7700
10/05/2010;19,2800
11/05/2010;19,4700
12/05/2010;20,1900
13/05/2010;19,7500
14/05/2010;19,1800
17/05/2010;19,4900
18/05/2010;18,8600
19/05/2010;18,6400
20/05/2010;17,1800
21/05/2010;17,3000
24/05/2010;17,4100
25/05/2010;17,6100
26/05/2010;17,2700
27/05/2010;18,4900
28/05/2010;18,1800
01/06/2010;17,9000
02/06/2010;18,9100
03/06/2010;19,2300
04/06/2010;18,1900
07/06/2010;17,6700
08/06/2010;17,5900
09/06/2010;17,1100
10/06/2010;18,0200
11/06/2010;18,3800
14/06/2010;18,0700
15/06/2010;19,0400
16/06/2010;19,1800
17/06/2010;19,2300
18/06/2010;19,2400
21/06/2010;18,8862
22/06/2010;18,7282
23/06/2010;18,6620
24/06/2010;17,9525
25/06/2010;17,8681
28/06/2010;17,7572
29/06/2010;16,5497
30/06/2010;16,0043
01/07/2010;15,6518
02/07/2010;15,3619
06/07/2010;15,4155
07/07/2010;16,4162
08/07/2010;16,5120
09/07/2010;16,8770
12/07/2010;17,0584
13/07/2010;17,3918
14/07/2010;17,4664
15/07/2010;17,2954
16/07/2010;16,2339
19/07/2010;16,4972
20/07/2010;16,9957
21/07/2010;16,6471
22/07/2010;17,3670
23/07/2010;17,7193
26/07/2010;17,8368
27/07/2010;17,7390
28/07/2010;17,3920
29/07/2010;17,0710
30/07/2010;17,2136
02/08/2010;17,6501
03/08/2010;17,4674
04/08/2010;17,9003
05/08/2010;17,8040
06/08/2010;17,5825
09/08/2010;17,8714
10/08/2010;17,7851
11/08/2010;17,0180
12/08/2010;16,8463
13/08/2010;16,7078
16/08/2010;16,6452
17/08/2010;17,0569
18/08/2010;17,1802
19/08/2010;16,6462
20/08/2010;16,9340
23/08/2010;16,6460
24/08/2010;16,0019
25/08/2010;16,3626
26/08/2010;15,8212
27/08/2010;16,2511
30/08/2010;15,9331
31/08/2010;15,8210
01/09/2010;16,6210
02/09/2010;16,9856
03/09/2010;17,4896
07/09/2010;17,4120
08/09/2010;17,8294
09/09/2010;17,9555
10/09/2010;18,0900
13/09/2010;18,4411
14/09/2010;18,4199
15/09/2010;18,5541
16/09/2010;18,6133
17/09/2010;18,8410
20/09/2010;19,4291
21/09/2010;19,3508
22/09/2010;18,8259
23/09/2010;18,9245
24/09/2010;19,5119
27/09/2010;19,2688
28/09/2010;19,1878
29/09/2010;19,0482
30/09/2010;18,7640
01/10/2010;18,6070
04/10/2010;18,2992
05/10/2010;18,9933
06/10/2010;18,5847
07/10/2010;18,6103
08/10/2010;18,9060
11/10/2010;18,9554
12/10/2010;19,3105
13/10/2010;19,4302
14/10/2010;19,2064
15/10/2010;20,1203
18/10/2010;20,3059
19/10/2010;19,8942
20/10/2010;19,9427
21/10/2010;19,9772
22/10/2010;20,3599
25/10/2010;20,4588
26/10/2010;20,7283
27/10/2010;20,9981
28/10/2010;20,8912
29/10/2010;20,7883
01/11/2010;20,8803
02/11/2010;21,1279
03/11/2010;21,2809
04/11/2010;21,5375
05/11/2010;21,8110
08/11/2010;22,0639
09/11/2010;21,8036
10/11/2010;22,3666
11/11/2010;22,1129
12/11/2010;21,3432
15/11/2010;21,3795
16/11/2010;20,6925
17/11/2010;20,8449
18/11/2010;21,4393
19/11/2010;21,3560
22/11/2010;21,7584
23/11/2010;21,3396
24/11/2010;22,2923
26/11/2010;22,4518
29/11/2010;22,4719
30/11/2010;22,0185
01/12/2010;22,8913
02/12/2010;23,1775
03/12/2010;22,9305
06/12/2010;23,0648
07/12/2010;22,9537
08/12/2010;23,4196
09/12/2010;23,5078
10/12/2010;23,7227
13/12/2010;23,2578
14/12/2010;23,3722
15/12/2010;23,2542
16/12/2010;23,8235
17/12/2010;23,9090
20/12/2010;24,0996
21/12/2010;24,2881
22/12/2010;24,3840
23/12/2010;24,3138
27/12/2010;24,1485
28/12/2010;24,1284
29/12/2010;24,2107
30/12/2010;23,8172
31/12/2010;23,4124
03/01/2011;24,2774
04/01/2011;24,2979
05/01/2011;25,0313
06/01/2011;25,3984
07/01/2011;25,4829
10/01/2011;25,7374
11/01/2011;25,8473
12/01/2011;25,9532
13/01/2011;25,4346
14/01/2011;25,7778
18/01/2011;25,8367
19/01/2011;25,0788
20/01/2011;24,8514
21/01/2011;24,1529
24/01/2011;24,6691
25/01/2011;24,7499
26/01/2011;24,9327
27/01/2011;25,2014
28/01/2011;24,0998
31/01/2011;24,1895
01/02/2011;24,9512
02/02/2011;24,8365
03/02/2011;25,2102
04/02/2011;25,6830
07/02/2011;25,9466
08/02/2011;26,0166
09/02/2011;25,8916
10/02/2011;26,1711
11/02/2011;26,5971
14/02/2011;26,9170
15/02/2011;26,7393
16/02/2011;27,0929
17/02/2011;26,9632
18/02/2011;26,7333
22/02/2011;25,0694
23/02/2011;24,4817
24/02/2011;24,6928
25/02/2011;25,4757
28/02/2011;25,4563
