DateTime;NAV officielle
25/06/2015;89,9652
26/06/2015;90,4771
29/06/2015;88,8113
30/06/2015;89,0197
01/07/2015;90,1825
02/07/2015;90,2165
06/07/2015;90,3356
07/07/2015;92,3000
08/07/2015;90,1243
09/07/2015;90,2834
10/07/2015;90,1275
13/07/2015;92,1150
14/07/2015;92,4168
15/07/2015;92,6296
16/07/2015;93,7823
17/07/2015;93,8421
20/07/2015;93,6391
21/07/2015;92,5265
22/07/2015;93,0883
23/07/2015;91,8122
24/07/2015;91,3986
27/07/2015;89,9801
28/07/2015;91,3378
29/07/2015;91,9792
30/07/2015;93,0058
31/07/2015;92,1694
03/08/2015;92,7034
04/08/2015;92,5847
05/08/2015;93,8020
06/08/2015;92,8938
07/08/2015;92,6467
10/08/2015;93,1795
11/08/2015;92,2214
12/08/2015;91,2451
13/08/2015;91,7481
14/08/2015;92,4055
17/08/2015;93,1838
18/08/2015;93,3959
19/08/2015;92,7657
20/08/2015;90,1485
21/08/2015;87,1014
24/08/2015;81,9242
25/08/2015;81,7998
26/08/2015;84,1362
27/08/2015;87,2587
28/08/2015;87,2174
31/08/2015;86,5977
01/09/2015;84,1184
02/09/2015;85,4291
03/09/2015;86,8629
04/09/2015;85,5153
08/09/2015;86,7917
09/09/2015;85,8084
10/09/2015;85,5866
11/09/2015;85,5250
14/09/2015;85,2232
15/09/2015;86,2098
16/09/2015;86,7742
17/09/2015;86,7517
18/09/2015;85,2407
21/09/2015;87,0845
22/09/2015;86,5417
23/09/2015;86,3874
24/09/2015;85,1664
25/09/2015;86,1564
28/09/2015;84,0525
29/09/2015;84,0130
30/09/2015;85,6307
01/10/2015;85,1305
02/10/2015;85,7674
05/10/2015;87,7255
06/10/2015;86,9174
07/10/2015;87,7519
08/10/2015;88,2710
09/10/2015;87,6352
12/10/2015;87,6079
13/10/2015;87,1017
14/10/2015;86,1511
15/10/2015;87,3996
16/10/2015;87,9072
19/10/2015;88,4599
20/10/2015;88,3181
21/10/2015;87,7149
22/10/2015;90,3582
23/10/2015;91,2753
26/10/2015;91,0231
27/10/2015;90,6126
28/10/2015;91,1236
29/10/2015;91,8152
30/10/2015;90,8549
02/11/2015;91,8564
03/11/2015;92,5595
04/11/2015;93,0367
05/11/2015;92,9143
06/11/2015;93,2007
09/11/2015;92,4751
10/11/2015;93,2816
11/11/2015;92,6178
12/11/2015;91,2837
13/11/2015;90,5073
16/11/2015;91,8630
17/11/2015;92,1933
18/11/2015;93,3965
19/11/2015;92,7081
20/11/2015;93,6366
23/11/2015;94,1768
24/11/2015;94,1240
25/11/2015;94,5400
27/11/2015;94,6986
30/11/2015;94,6240
01/12/2015;95,0214
02/12/2015;94,2535
03/12/2015;90,7898
04/12/2015;92,0436
07/12/2015;92,1496
08/12/2015;91,4992
09/12/2015;90,0920
10/12/2015;90,2527
11/12/2015;88,6416
14/12/2015;88,5011
15/12/2015;90,0824
16/12/2015;91,1597
17/12/2015;91,0569
18/12/2015;89,7953
21/12/2015;89,7260
22/12/2015;90,1559
23/12/2015;91,9139
24/12/2015;91,1635
28/12/2015;90,9849
29/12/2015;92,2617
30/12/2015;91,6349
31/12/2015;91,3336
04/01/2016;90,9359
05/01/2016;92,1058
06/01/2016;90,9373
07/01/2016;88,8320
08/01/2016;87,4340
11/01/2016;87,8830
12/01/2016;88,3836
13/01/2016;86,6189
14/01/2016;87,5338
15/01/2016;85,3791
19/01/2016;85,8600
20/01/2016;84,8313
21/01/2016;85,8257
22/01/2016;87,4509
25/01/2016;86,2843
26/01/2016;87,5586
27/01/2016;86,8393
28/01/2016;86,6046
29/01/2016;89,6480
01/02/2016;89,5297
02/02/2016;88,3491
03/02/2016;87,8076
04/02/2016;86,7094
05/02/2016;85,9793
08/02/2016;84,9101
09/02/2016;83,3633
10/02/2016;84,2415
11/02/2016;82,2363
12/02/2016;84,2574
16/02/2016;86,2610
17/02/2016;87,4411
18/02/2016;87,8831
19/02/2016;87,6541
22/02/2016;89,3058
23/02/2016;88,9076
24/02/2016;89,4001
25/02/2016;90,2955
26/02/2016;90,7120
29/02/2016;90,8445
01/03/2016;92,1616
02/03/2016;92,8924
03/03/2016;92,5774
04/03/2016;92,2538
07/03/2016;92,6167
08/03/2016;91,4082
09/03/2016;92,1600
10/03/2016;91,1332
11/03/2016;92,2101
14/03/2016;92,4795
15/03/2016;92,1992
16/03/2016;93,1491
17/03/2016;91,8292
18/03/2016;92,1182
21/03/2016;92,3219
22/03/2016;92,4537
23/03/2016;92,6317
24/03/2016;92,6518
28/03/2016;92,5393
29/03/2016;93,7168
30/03/2016;92,5519
31/03/2016;92,2126
01/04/2016;93,1286
04/04/2016;92,4755
05/04/2016;91,6016
06/04/2016;92,1881
07/04/2016;91,3059
08/04/2016;91,3083
11/04/2016;90,7148
12/04/2016;91,8633
13/04/2016;93,0670
14/04/2016;92,9528
15/04/2016;93,0216
18/04/2016;93,2153
19/04/2016;93,0851
20/04/2016;93,0043
21/04/2016;92,3355
22/04/2016;93,1677
25/04/2016;92,9851
26/04/2016;92,9315
27/04/2016;93,3167
28/04/2016;92,7105
29/04/2016;91,3262
02/05/2016;91,5900
03/05/2016;90,9664
04/05/2016;91,1488
05/05/2016;91,7815
06/05/2016;91,8835
09/05/2016;92,4140
10/05/2016;93,1971
11/05/2016;91,9944
12/05/2016;92,3820
13/05/2016;92,5987
16/05/2016;92,9622
17/05/2016;91,9154
18/05/2016;91,7929
19/05/2016;92,3658
20/05/2016;92,7522
23/05/2016;92,6223
24/05/2016;93,9519
25/05/2016;94,4498
26/05/2016;94,3119
27/05/2016;95,1082
31/05/2016;95,2471
01/06/2016;95,1710
02/06/2016;95,6293
03/06/2016;94,3603
06/06/2016;94,2699
07/06/2016;94,5505
08/06/2016;94,6562
09/06/2016;95,3953
10/06/2016;94,9268
13/06/2016;94,2295
14/06/2016;94,8829
15/06/2016;94,5538
16/06/2016;95,6730
17/06/2016;94,6931
20/06/2016;94,4177
21/06/2016;95,1530
22/06/2016;94,9801
23/06/2016;95,3802
24/06/2016;95,0624
27/06/2016;95,1222
28/06/2016;95,7482
29/06/2016;96,6600
30/06/2016;98,3204
01/07/2016;98,2466
05/07/2016;98,1088
06/07/2016;98,8448
07/07/2016;98,5036
08/07/2016;100,2160
11/07/2016;100,2654
12/07/2016;100,1564
13/07/2016;100,0620
14/07/2016;100,1674
15/07/2016;100,3663
18/07/2016;100,4452
19/07/2016;100,9270
20/07/2016;101,0937
21/07/2016;101,0570
22/07/2016;101,9827
25/07/2016;101,8291
26/07/2016;101,7595
27/07/2016;101,0545
28/07/2016;100,5788
29/07/2016;99,9315
01/08/2016;99,9659
02/08/2016;98,6812
03/08/2016;99,1643
04/08/2016;99,5368
05/08/2016;100,4702
08/08/2016;100,3202
09/08/2016;99,9819
10/08/2016;99,5417
11/08/2016;99,7332
12/08/2016;99,7290
15/08/2016;99,6029
16/08/2016;98,3052
17/08/2016;98,3202
18/08/2016;98,2910
19/08/2016;98,1938
22/08/2016;98,2312
23/08/2016;98,3542
24/08/2016;98,5269
25/08/2016;98,1105
26/08/2016;97,5085
29/08/2016;99,1869
30/08/2016;98,8758
31/08/2016;98,9298
01/09/2016;98,3641
02/09/2016;99,2928
06/09/2016;98,9134
07/09/2016;98,8399
08/09/2016;98,1100
09/09/2016;96,0180
12/09/2016;97,3126
13/09/2016;95,6672
14/09/2016;95,4770
15/09/2016;96,2628
16/09/2016;96,6479
19/09/2016;96,7835
20/09/2016;96,8273
21/09/2016;98,3118
22/09/2016;98,1698
23/09/2016;98,0031
26/09/2016;97,0721
27/09/2016;97,8615
28/09/2016;98,1462
29/09/2016;96,8746
30/09/2016;97,3011
03/10/2016;96,8727
04/10/2016;96,5175
05/10/2016;96,1988
06/10/2016;96,4704
07/10/2016;96,2289
10/10/2016;96,7495
11/10/2016;96,5034
12/10/2016;97,3398
13/10/2016;97,2031
14/10/2016;97,2828
17/10/2016;97,2096
18/10/2016;97,8644
19/10/2016;97,9888
20/10/2016;98,0849
21/10/2016;98,5703
24/10/2016;98,8205
25/10/2016;98,8092
26/10/2016;98,0136
27/10/2016;97,2198
28/10/2016;97,2592
31/10/2016;97,5180
01/11/2016;95,8364
02/11/2016;94,7818
03/11/2016;94,6455
04/11/2016;94,2892
07/11/2016;96,7697
08/11/2016;97,1348
09/11/2016;98,1007
10/11/2016;98,5754
11/11/2016;98,8826
14/11/2016;100,6243
15/11/2016;101,1188
16/11/2016;101,4214
17/11/2016;101,7941
18/11/2016;102,5124
21/11/2016;102,5672
22/11/2016;103,3498
23/11/2016;103,9077
25/11/2016;103,7957
28/11/2016;103,8101
29/11/2016;103,7469
30/11/2016;102,7099
01/12/2016;102,1073
02/12/2016;101,8139
05/12/2016;101,7597
06/12/2016;102,0001
07/12/2016;102,9870
08/12/2016;104,8006
